sku_id,description,category,unit_cost,velocity_class,reorder_point,reorder_qty,last_cycle_count_date
HVAC-PIPE-COPPE-00000,"Copper Fitting Elbow, 1-1/2""",Pipe & Fittings,51.0,A,53,91,2026-06-14
HVAC-REF-R22-00001,"R-22, 25lb cylinder",Refrigerant,414.51,B,32,81,2026-04-17
HVAC-MOT-BLOWE-00002,"Blower Motor, 1/6 HP",Motor,177.78,A,46,89,2026-05-24
HVAC-COMP-ROTAR-00003,"Rotary Compressor, 2 Ton 208V",Compressor,2151.87,C,4,7,2026-05-19
HVAC-VLV-PRESS-00004,"Pressure Reducing Valve, 1/2""",Valves,36.95,C,2,4,2026-02-20
HVAC-VLV-CHECK-00005,"Check Valve, 1/2""",Valves,91.07,C,2,4,2026-03-20
HVAC-ELE-EMT-00006,"EMT Conduit, 12 AWG",Electrical,24.32,C,3,4,2026-02-26
HVAC-REF-R407C-00007,"R-407C, 50lb jug",Refrigerant,400.71,C,11,18,2026-03-20
HVAC-CTL-CAPAC-00008,"Capacitor, 40A",Controls,77.54,C,3,4,2026-01-05
HVAC-REF-R410A-00009,"R-410A, 25lb cylinder",Refrigerant,301.84,B,11,27,2026-05-02
HVAC-COMP-SCROL-00010,"Scroll Compressor, 3 Ton 230V",Compressor,795.33,A,51,150,2026-08-07
HVAC-PIPE-PVC-00011,"PVC Pipe, 4""",Pipe & Fittings,59.54,C,9,25,2026-02-23
HVAC-REF-R407C-00012,"R-407C, 25lb cylinder",Refrigerant,150.95,B,19,52,2026-05-05
HVAC-CU-SOFT-00013,"Soft Copper Tubing, 3/8 in. x 50ft",Copper Tubing,76.39,C,2,4,2026-04-11
HVAC-VLV-BALL-00014,"Ball Valve, 1-1/4""",Valves,42.04,C,10,15,2026-03-13
HVAC-PIPE-CAST-00015,"Cast Iron Pipe, 2""",Pipe & Fittings,59.78,B,24,62,2026-04-08
HVAC-COMP-ROTAR-00016,"Rotary Compressor, 4 Ton 460V",Compressor,1553.35,C,2,3,2026-03-11
HVAC-PIPE-CPVC-00017,"CPVC Pipe, 1""",Pipe & Fittings,25.88,C,15,29,2026-03-07
